timestamp,signal,confidence,price,position_ratio,cumulative_return,benchmark_return
1720940400000,1,1.0,60202.0,0.9999997193166321,0.3399144078579469,0.02738977941547899
1720944000000,1,1.0,60186.01,0.9999997894315459,0.33955851890290617,0.027116898737547173
1720947600000,1,1.0,59920.51,0.9999998413739084,0.3336492929781143,0.022585953147121442
1720951200000,1,1.0,60099.1,0.9999998813839602,0.3376241656702394,0.025633718017155777
1720954800000,1,1.0,59583.86,0.9999999102686882,0.3261564828961624,0.01684078240129535
1720958400000,1,1.0,59701.93,0.9999999328346096,0.32878436375849635,0.01885573059663081
1720962000000,1,1.0,60012.0,0.9999999498862296,0.33568558365064544,0.024147294812161144
1720965600000,1,1.0,60084.0,0.9999999624597117,0.3372880857903556,0.025376025819734225
1720969200000,1,1.0,60107.33,0.9999999718557119,0.33780734100244336,0.02577416879760481
1720972800000,1,1.0,60005.56,0.9999999788559842,0.3355422487047157,0.02403739164981707
1720976400000,1,1.0,60020.11,0.9999999841458325,0.3358660876858119,0.02428569770759751
1720980000000,1,1.0,59915.99,0.9999999880887112,0.33354869147650845,0.022508816144979286
1720983600000,1,1.0,60084.0,0.9999999910915135,0.33728808581270203,0.025376025819734225
1720987200000,1,1.0,61276.36,0.999999993448646,0.36382641234465757,0.045724493933481956
1720990800000,1,1.0,60861.4,0.9999999950529835,0.35459065804584117,0.03864290755983579
1720994400000,1,1.0,60797.91,0.9999999962858631,0.3531775627085628,0.03755940573107452
1720998000000,1,1.0,61211.99,0.9999999972332411,0.36239373088943483,0.0446259742812947
1721001600000,1,1.0,61390.0,0.9999999979309478,0.36635569500026305,0.04766384104043479
1721005200000,1,1.0,62482.0,0.9999999984753315,0.3906603116581053,0.06629959465529316
1721008800000,1,1.0,62647.87,0.9999999988595262,0.3943520760963589,0.06913028371398967
1721012400000,1,1.0,62610.0,0.9999999991441273,0.39350920445400916,0.06848400533542306
1721016000000,1,1.0,62799.99,0.9999999993600375,0.39773780713064677,0.0717263192816565
1721019600000,1,1.0,62870.02,0.9999999995205627,0.39929646308881456,0.07292143084360568
1721023200000,1,1.0,62840.12,0.999999999640251,0.39863097953669674,0.07241116616129419
1721026800000,1,1.0,62879.54,0.9999999997303574,0.3995083494907718,0.07308389638794041
1721030400000,1,1.0,62637.64,0.9999999997969871,0.39412438724051735,0.06895570151666361
1721034000000,1,1.0,62535.96,0.9999999998474928,0.3918612980233465,0.06722046028263541
1721037600000,1,1.0,62454.0,0.9999999998854694,0.3900371163529453,0.06582175481901473
1721041200000,1,1.0,62616.0,0.9999999999143243,0.3936427463018652,0.06858639958605416
1721044800000,1,1.0,62908.01,0.9999999999360415,0.4001420055698072,0.07356975710718495
1721048400000,1,1.0,63218.06,0.9999999999522664,0.407042780666748,0.07886098000854645
1721052000000,1,1.0,63026.0,0.9999999999640907,0.4027681060493176,0.0755833400458453
1721055600000,1,1.0,63411.77,0.9999999999732319,0.41135417929299584,0.08216677839017117
1721059200000,1,1.0,63081.97,0.9999999999798189,0.40401382893971804,0.076538507747149
1721062800000,1,1.0,63499.0,0.9999999999849636,0.4132956552218375,0.08365542013726289
1721066400000,1,1.0,63342.0,0.9999999999886947,0.40980131014762644,0.08097610391241604
1721070000000,1,1.0,63731.36,0.9999999999915729,0.4184672859316943,0.08762080815003624
1721073600000,1,1.0,63532.44,0.9999999999936598,0.41403992846567217,0.08422609742744687
1721077200000,1,1.0,64343.6,0.9999999999953049,0.4320938963027133,0.09806911748443262
1721080800000,1,1.0,64724.14,0.9999999999964994,0.44056356556736626,0.10456330217362513
1721084400000,2,1.0,64611.44,0.7496730913361742,0.4386822947559016,0.10263999683260454
1721088000000,1,1.0,64848.08,0.8128116833085951,0.44296221751920983,0.10667842607749471
1721091600000,1,1.0,64819.91,0.8595563188492542,0.4424233952725792,0.10619768507078177
1721095200000,1,1.0,64752.14,0.8945686201613369,0.4410741734579147,0.10504114200990354
1721098800000,1,1.0,64487.01,0.9206271686666812,0.43564021849769524,0.10051651073160012
1721102400000,1,1.0,63654.92,0.9397391048093153,0.4182185879943754,0.08631630539699611
1721106000000,1,1.0,62899.64,0.9542864411170059,0.40215163362182027,0.07342691712755454
1721109600000,1,1.0,62895.01,0.9657123934821178,0.4020519608089693,0.07334790289748426
1721113200000,1,1.0,62820.67,0.9742546474180945,0.400437393416106,0.07207923813216499
1721116800000,1,1.0,63187.54,0.9808009422727137,0.40845796866140915,0.07834013458700304
1721120400000,1,1.0,63443.54,0.9856579757541528,0.41408207359308924,0.08270895594726287
1721124000000,1,1.0,63746.11,0.9892939908730751,0.42075346270385783,0.08787252734950433
1721127600000,1,1.0,63743.31,0.9919701432814322,0.4206915582608017,0.08782474336587645
1721131200000,1,1.0,63419.99,0.9939470906796454,0.4135288978827126,0.08230705851353579
1721134800000,1,1.0,63836.09,0.9954897753595601,0.42276099130456224,0.08940809979480184
1721138400000,1,1.0,64878.24,0.9966714870288704,0.4459095704517258,0.10719312784400026
1721142000000,1,1.0,64500.0,0.9974890127661684,0.43750096440703456,0.10073819428421639
1721145600000,1,1.0,64547.52,0.9981181434105146,0.4385580404006603,0.10154915674921457
1721149200000,1,1.0,64795.44,0.998594000228072,0.44407558685417514,0.10578008718529129
1721152800000,1,1.0,65165.43,0.9989514810309583,0.4523127423383883,0.11209422865045741
1721156400000,1,1.0,64651.82,0.9992073684550756,0.4408751478608523,0.10332911013935173
1721160000000,0,1.0,64500.01,0.9992055043655406,0.4374944870138384,0.10073836494130081
1721163600000,0,1.0,64616.92,0.9992069406893659,0.4400979588511638,0.10273351691484753
1721167200000,1,1.0,65043.99,0.9994091085491456,0.449610278893905,0.11002176901768412
1721170800000,1,1.0,65505.41,0.9995599517169738,0.4598892108697517,0.1178962282053838
1721174400000,1,1.0,65670.19,0.9996707916437728,0.4635603755945629,0.12070831564188228
